Model,Family,Overall MAE,Overall RMSE,NASA score,Severe optimism,Critical misses,Operational recall,Review workload,Status
Patch Transformer — 10×5 Patches with Mean Pooling,Patch Transformer,14.955002847031455,21.26705017566782,8246.168213822433,0.06506364922206506,26,0.7450980392156863,0.1188118811881188,Candidate
Regime-Consistent Physics-Guided Patch Transformer,Physics-guided Transformer,14.488493502545971,20.913383755183986,7577.177145856502,0.056577086280056574,25,0.7549019607843137,0.12588401697312587,Candidate
AeroKAN-PHM Compact Residual Corrector,AeroKAN residual correction,15.465818157627695,21.471324319408936,9516.831725235117,0.08628005657708628,5,0.9509803921568627,0.16407355021216408,Candidate
Selective One-Sided AeroKAN Safety Corrector,Selective AeroKAN safety correction,14.448549979369826,20.90169030316716,7570.6490340441,0.056577086280056574,24,0.7647058823529411,0.1272984441301273,Candidate
Critical-Boundary Safety-Guarded Physics-Guided Transformer,Safety-guarded Transformer,14.563174664497879,20.96032224567446,7584.776467598388,0.056577086280056574,1,0.9901960784313726,0.19236209335219237,Final selected system
