candidate_id,display_name,architecture,training_status,failure_reason,active_losses,active_heads,fitting_engine_count,validation_engine_count,standard_window_count,temporal_pair_count,adjacent_pair_count,fixed_gap_pair_count,temporal_triplet_count,regime_pair_count,best_epoch,stopping_epoch,validation_mae,validation_rmse,validation_nasa_score,validation_mean_signed_error,validation_optimistic_rate,validation_severe_optimistic_rate,validation_low_rul_optimistic_rate,monotonic_violation_rate,rate_violation_rate,smoothness_violation_rate,health_violation_rate,regime_consistency_violation_rate,parameter_count,checkpoint_size,training_runtime,cpu_latency,gpu_latency,checkpoint_path
phase5b_reimplementation_baseline,Patch Transformer Reimplementation Baseline,"{""architecture"": ""physics_guided_patch_transformer"", ""causal_attention"": false, ""dropout"": 0.15, ""feedforward_dim"": 192, ""heads"": 4, ""layers"": 2, ""patch_length"": 10, ""patch_stride"": 5, ""pooling"": ""mean"", ""positional_encoding"": ""learnable"", ""projection_dim"": 64, ""window_length"": 50}",success,,data,,567,142,52428,13834,226,13608,6791,0,4,13,20.030497631850377,36.872558117592526,11163697782.310444,-9.159857953812034,0.5746478873239437,0.0422535211267605,1.0,0.2275132275132275,1.0,1.0,,,89985,376250,38.54696860001423,0.9605999803170562,3.0196000006981194,artifacts\physics_guided_rul\checkpoints\screening_phase5b_reimplementation_baseline.pt
physics_monotonic,Monotonicity-Guided Patch Transformer,"{""architecture"": ""physics_guided_patch_transformer"", ""causal_attention"": false, ""dropout"": 0.15, ""feedforward_dim"": 192, ""heads"": 4, ""layers"": 2, ""patch_length"": 10, ""patch_stride"": 5, ""pooling"": ""mean"", ""positional_encoding"": ""learnable"", ""projection_dim"": 64, ""window_length"": 50}",success,,data;monotonic,,567,142,52428,13834,226,13608,6791,0,7,16,19.961539457675435,36.68527122324114,10748741891.34444,-7.87772106272234,0.6169014084507042,0.0436619718309859,1.0,0.2275132275132275,1.0,1.0,,,89985,375850,66.28453220007941,0.9535499848425388,7.539349957369268,artifacts\physics_guided_rul\checkpoints\screening_physics_monotonic.pt
physics_cycle_rate,Cycle-Rate-Guided Patch Transformer,"{""architecture"": ""physics_guided_patch_transformer"", ""causal_attention"": false, ""dropout"": 0.15, ""feedforward_dim"": 192, ""heads"": 4, ""layers"": 2, ""patch_length"": 10, ""patch_stride"": 5, ""pooling"": ""mean"", ""positional_encoding"": ""learnable"", ""projection_dim"": 64, ""window_length"": 50}",success,,data;rate,rate,567,142,52428,13834,226,13608,6791,0,13,22,19.84676498716146,36.749354655197536,11344102334.183117,-9.253660614851494,0.5788732394366197,0.0309859154929577,1.0,0.2116402116402116,1.0,1.0,,,94210,394903,108.24369050003588,1.3039499754086137,2.7263499214313924,artifacts\physics_guided_rul\checkpoints\screening_physics_cycle_rate.pt
physics_smooth,Smoothness-Guided Patch Transformer,"{""architecture"": ""physics_guided_patch_transformer"", ""causal_attention"": false, ""dropout"": 0.15, ""feedforward_dim"": 192, ""heads"": 4, ""layers"": 2, ""patch_length"": 10, ""patch_stride"": 5, ""pooling"": ""mean"", ""positional_encoding"": ""learnable"", ""projection_dim"": 64, ""window_length"": 50}",success,,data;smooth,,567,142,52428,13834,226,13608,6791,0,12,21,19.86791074452266,36.67420468778171,11067766072.352749,-9.538393461788203,0.5788732394366197,0.0295774647887323,1.0,0.2222222222222222,1.0,1.0,,,89985,376123,92.54843709990382,0.9395000524818896,2.954800031147897,artifacts\physics_guided_rul\checkpoints\screening_physics_smooth.pt
physics_health,Health-Guided Patch Transformer,"{""architecture"": ""physics_guided_patch_transformer"", ""causal_attention"": false, ""dropout"": 0.15, ""feedforward_dim"": 192, ""heads"": 4, ""layers"": 2, ""patch_length"": 10, ""patch_stride"": 5, ""pooling"": ""mean"", ""positional_encoding"": ""learnable"", ""projection_dim"": 64, ""window_length"": 50}",success,,data;health;health_monotonic,health,567,142,52428,13834,226,13608,6791,0,25,30,19.19501047547854,36.141637369879206,9352907409.790876,-9.046708418512848,0.5915492957746479,0.0295774647887323,1.0,0.2222222222222222,1.0,1.0,0.0300363535231132,,94210,395315,127.7620449999813,0.9866000036709012,2.77789996471256,artifacts\physics_guided_rul\checkpoints\screening_physics_health.pt
physics_regime,Regime-Consistent Physics-Guided Patch Transformer,"{""architecture"": ""physics_guided_patch_transformer"", ""causal_attention"": false, ""dropout"": 0.15, ""feedforward_dim"": 192, ""heads"": 4, ""layers"": 2, ""patch_length"": 10, ""patch_stride"": 5, ""pooling"": ""mean"", ""positional_encoding"": ""learnable"", ""projection_dim"": 64, ""window_length"": 50}",success,,data;regime,,567,142,52428,13834,226,13608,6791,20000,20,29,19.57094408286289,36.50854088878304,10554056727.521675,-9.615474627765131,0.571830985915493,0.0295774647887323,0.9933333333333332,0.238095238095238,1.0,1.0,,,89985,376763,116.64671530004124,0.9404500015079976,2.7602999471127987,artifacts\physics_guided_rul\checkpoints\screening_physics_regime.pt
physics_temporal_combined,Temporally Combined Physics-Guided Patch Transformer,"{""architecture"": ""physics_guided_patch_transformer"", ""causal_attention"": false, ""dropout"": 0.15, ""feedforward_dim"": 192, ""heads"": 4, ""layers"": 2, ""patch_length"": 10, ""patch_stride"": 5, ""pooling"": ""mean"", ""positional_encoding"": ""learnable"", ""projection_dim"": 64, ""window_length"": 50}",success,,data;monotonic;rate;smooth,rate,567,142,52428,13834,226,13608,6791,0,9,18,20.32448326017655,36.697539984150346,10738246581.751097,-7.156215516068566,0.6338028169014085,0.052112676056338,1.0,0.2328042328042328,1.0,1.0,,,94210,394998,116.26520929997788,1.0572499595582483,2.744800061918795,artifacts\physics_guided_rul\checkpoints\screening_physics_temporal_combined.pt
physics_full,Full Physics-Guided Patch Transformer,"{""architecture"": ""physics_guided_patch_transformer"", ""causal_attention"": false, ""dropout"": 0.15, ""feedforward_dim"": 192, ""heads"": 4, ""layers"": 2, ""patch_length"": 10, ""patch_stride"": 5, ""pooling"": ""mean"", ""positional_encoding"": ""learnable"", ""projection_dim"": 64, ""window_length"": 50}",success,,data;monotonic;rate;smooth;health;health_monotonic;regime;nonnegative,health;rate,567,142,52428,13834,226,13608,6791,20000,11,20,20.271495280845063,36.93444277795916,11105777990.576635,-7.700735050146009,0.6267605633802817,0.0422535211267605,1.0,0.2222222222222222,1.0,1.0,0.0306521782315898,,98435,413137,159.55086860002484,1.0274499654769895,2.842150046490133,artifacts\physics_guided_rul\checkpoints\screening_physics_full.pt
physics_full_safety,Full Physics-and-Safety Patch Transformer,"{""architecture"": ""physics_guided_patch_transformer"", ""causal_attention"": false, ""dropout"": 0.15, ""feedforward_dim"": 192, ""heads"": 4, ""layers"": 2, ""patch_length"": 10, ""patch_stride"": 5, ""pooling"": ""mean"", ""positional_encoding"": ""learnable"", ""projection_dim"": 64, ""window_length"": 50}",success,,data;monotonic;rate;smooth;health;health_monotonic;regime;nonnegative;optimistic,health;rate,567,142,52428,13834,226,13608,6791,20000,12,21,19.882193135039905,37.02371258669735,11762187334.262182,-9.7657438175779,0.5774647887323944,0.0309859154929577,0.9933333333333332,0.2275132275132275,1.0,1.0,0.0321420767198394,,98435,413516,169.06132569990586,1.0199499665759504,4.117649979889393,artifacts\physics_guided_rul\checkpoints\screening_physics_full_safety.pt
