model_id,display_name,model_family,overall_mae,overall_rmse,nasa_score,severe_optimism,native_policy_label,source_metrics,critical_misses,operational_recall,urgent_precision,abstention_review_count,total_review_count,review_workload
patch_transformer_10x5_mean_b,Patch Transformer — 10×5 Patches with Mean Pooling,Patch Transformer,14.955002847031455,21.26705017566782,8246.168213822433,0.06506364922206506,"native locked uncertainty, abstention, and maintenance policy where available",reports/deep_rul_extended/maintenance_policy_metrics.json,0,1.0,,34,171,0.24186704384724186
physics_regime,Regime-Consistent Physics-Guided Patch Transformer,Physics-guided Transformer,14.488493502545971,20.913383755183986,7577.177145856502,0.056577086280056574,"native locked uncertainty, abstention, and maintenance policy where available",reports/physics_guided_rul_safety_refined/benchmark_safety_metrics.json,25,0.7549019607843137,0.8651685393258427,78,167,0.2362093352192362
two_layer_compact_kan_h8,AeroKAN-PHM Compact Residual Corrector,AeroKAN residual correction,15.465818157627695,21.471324319408936,9516.831725235117,0.08628005657708628,"native locked uncertainty, abstention, and maintenance policy where available",reports/aerokan_phm/benchmark_safety_metrics.json,21,0.7941176470588235,0.8709677419354839,78,171,0.24186704384724186
selective_one_sided_aerokan_safety_corrector,Selective One-Sided AeroKAN Safety Corrector,Selective AeroKAN safety correction,14.448549979369826,20.90169030316716,7570.6490340441,0.056577086280056574,"native locked uncertainty, abstention, and maintenance policy where available",reports/aerokan_phm_selective/benchmark_safety_metrics.json,49,0.5196078431372549,0.9782608695652174,45,91,0.12871287128712872
critical_boundary_safety_guarded_transformer,Critical-Boundary Safety-Guarded Physics-Guided Transformer,Safety-guarded Transformer,14.563174664497879,20.96032224567446,7584.776467598388,0.056577086280056574,"native locked uncertainty, abstention, and maintenance policy where available",reports/aerokan_phm_critical_gate/benchmark_fixed_policy_metrics.json,1,0.9901960784313726,0.7426470588235294,0,136,0.19236209335219237
