row_count,display_name,engine_count,mae,rmse,r2,median_absolute_error,nasa_score,mean_signed_error,optimistic_rate,severe_optimistic_rate,low_rul_optimistic_rate,critical_count,critical_mae,critical_rmse,critical_optimistic_rate,critical_miss_proxy_count,critical_miss_proxy_rate,mean_absolute_correction,median_correction,p90_correction_magnitude,maximum_correction_magnitude,positive_correction_rate,negative_correction_rate,correction_bound_saturation_rate,candidate_id,candidate_type,screening_seed
1704,Regime-Consistent Physics-Guided Patch Transformer,213,14.801658030800487,32.92809276558357,0.8013136936959977,3.2965939044952397,142163.30464317594,-6.645617115271973,0.7247652582159625,0.0422535211267605,1.0,852,1.604590609267424,2.2795778471175567,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,phase5c_frozen_baseline,baseline,12501
1704,Linear Residual Corrector,213,13.765927058307918,28.784750392304936,0.8481692565798008,3.097042679786682,114663.0966162436,0.1711808066867606,0.4718309859154929,0.1050469483568075,0.354577056778679,852,0.9539757779856244,2.030977260435105,0.346244131455399,0,0.0,9.861785332361857,1.0442683696746826,27.880884552001955,30.0,0.5475352112676056,0.4524647887323944,0.0710093896713615,linear_ridge_residual,linear_residual,12501
1704,MLP Residual Corrector,213,13.258751911552787,30.916259682780435,0.8248505911259887,0.8475408554077148,127324.34968492492,-5.591130590398617,0.2588028169014084,0.056338028169014,0.0730011587485515,852,0.1305758915841579,0.7218511554806392,0.0610328638497652,0,0.0,6.815005936010571,-3.808375120162964,12.728079223632816,19.605663299560547,0.3374413145539906,0.6625586854460094,0.0,small_mlp_residual,mlp_residual,12501
1704,Direct Additive KAN RUL Head,213,48.59394520101413,74.35798305192912,-0.0131878777872247,17.7705135345459,758625.9853798421,-33.19670409887609,0.5199530516431925,0.0158450704225352,0.9895712630359212,852,14.87457569999874,15.33431785298419,1.0,291,0.3415492957746479,40.00764289652238,6.953050374984741,97.68320541381836,120.61368560791016,0.5093896713615024,0.4906103286384976,0.0005868544600938,direct_additive_kan_rul,direct_kan,12501
1704,Sparse Additive KAN Residual Corrector (Bound 10),213,13.725751176301582,32.21828048756423,0.809787304901819,1.4850749969482422,137438.79881548102,-7.150259096122963,0.2799295774647887,0.0410798122065727,0.1471610660486674,852,0.2300254910344809,0.8754190280291139,0.136150234741784,0,0.0,3.3235439435751597,-2.4884828329086304,5.620684385299683,9.772632598876951,0.2734741784037559,0.7265258215962441,0.0,sparse_kan_residual_bound10,kan_residual,12501
1704,Sparse Additive KAN Residual Corrector (Bound 20),213,13.548720992480716,31.534792633096817,0.8177721539183368,1.5266780853271484,130786.49508811333,-5.873824534587947,0.2963615023474178,0.0539906103286385,0.1668597914252607,852,0.2655339402806871,0.9766032512626084,0.1561032863849765,0,0.0,5.331416992140506,-2.227345108985901,10.061278533935548,17.08665657043457,0.335093896713615,0.664906103286385,0.0,sparse_kan_residual_bound20,kan_residual,12501
1704,Sparse Additive KAN Residual Corrector (Bound 30),213,13.197438658175754,30.8020951948315,0.8261417514056856,0.7789115905761719,125442.1524228356,-5.2100551547613785,0.2593896713615023,0.0569248826291079,0.0741599073001158,852,0.1093146981138019,0.6458761549251397,0.0633802816901408,0,0.0,7.52098326769793,-3.4641577005386357,14.499570083618169,23.421466827392575,0.3433098591549295,0.6566901408450704,0.0,sparse_kan_residual_bound30,kan_residual,12501
1704,Safety-Weighted Sparse KAN Corrector,213,13.68283153902477,32.083858739176655,0.8113712121425514,1.5892378687858582,136083.63471183574,-6.992682357559182,0.2758215962441314,0.0440140845070422,0.1552723059096176,852,0.2635816583331202,0.982037161306112,0.1455399061032863,0,0.0,5.1866815232867465,-3.0404863357543945,9.815031337738038,17.75213623046875,0.2992957746478873,0.7007042253521126,0.0,safety_weighted_sparse_kan,kan_residual,12501
1704,Regime-Aware KAN Corrector,213,13.541368757440171,31.86578972384984,0.8139266593119615,0.2693748474121094,134744.84468419055,-7.574440721230048,0.1866197183098591,0.0434272300469483,0.0220162224797219,852,0.0183491367549403,0.1941727654800388,0.0140845070422535,0,0.0,7.293181324741112,-6.856544256210327,11.103811073303223,17.90013885498047,0.2335680751173709,0.7664319248826291,0.0,regime_aware_sparse_kan,kan_residual,12501
1704,AeroKAN-PHM Compact Residual Corrector (h=4),213,14.07267934118918,33.11539942241036,0.7990468685342531,1.3383259773254397,144880.744422242,-8.414830442255651,0.267018779342723,0.0334507042253521,0.1436848203939745,852,0.2191439627761572,0.846119671933396,0.1338028169014084,0,0.0,2.5712819167548364,-2.63550353050232,3.694636154174805,7.325479507446289,0.0029342723004694,0.9970657276995304,0.0,two_layer_compact_kan_h4,kan_residual,12501
1704,AeroKAN-PHM Compact Residual Corrector,213,13.890693186786672,32.441841173657615,0.8071383977611002,2.097115397453308,138844.3444183681,-7.268837276006669,0.3485915492957746,0.0399061032863849,0.2780996523754345,852,0.4320892552744614,1.1951680025319662,0.2687793427230047,0,0.0,2.4484780618085797,-1.3869082927703855,4.59869990348816,9.696439743041992,0.2634976525821596,0.7365023474178404,0.0,two_layer_compact_kan_h8,kan_residual,12501
