model_id,display_name,model_family,engine_count,fixed_policy_label,policy_id,critical_count,critical_miss_count,direct_urgent_recall,operational_recall,urgent_precision,abstain_review_count,total_review_count,review_workload,source_predictions
patch_transformer_10x5_mean_b,Patch Transformer — 10×5 Patches with Mean Pooling,Patch Transformer,707,"identical point_u15_s30_i60, no abstention",point_u15_s30_i60,102,26,0.7450980392156863,0.7450980392156863,0.9047619047619048,0,84,0.1188118811881188,reports/deep_rul_extended/benchmark_predictions.csv
physics_regime,Regime-Consistent Physics-Guided Patch Transformer,Physics-guided Transformer,707,"identical point_u15_s30_i60, no abstention",point_u15_s30_i60,102,25,0.7549019607843137,0.7549019607843137,0.8651685393258427,0,89,0.12588401697312587,reports/physics_guided_rul/benchmark_predictions.csv
two_layer_compact_kan_h8,AeroKAN-PHM Compact Residual Corrector,AeroKAN residual correction,707,"identical point_u15_s30_i60, no abstention",point_u15_s30_i60,102,5,0.9509803921568627,0.9509803921568627,0.8362068965517241,0,116,0.16407355021216408,reports/aerokan_phm/benchmark_predictions.csv
selective_one_sided_aerokan_safety_corrector,Selective One-Sided AeroKAN Safety Corrector,Selective AeroKAN safety correction,707,"identical point_u15_s30_i60, no abstention",point_u15_s30_i60,102,24,0.7647058823529411,0.7647058823529411,0.8666666666666667,0,90,0.1272984441301273,reports/aerokan_phm_selective/benchmark_predictions.csv
critical_boundary_safety_guarded_transformer,Critical-Boundary Safety-Guarded Physics-Guided Transformer,Safety-guarded Transformer,707,"identical point_u15_s30_i60, no abstention",point_u15_s30_i60,102,1,0.9901960784313726,0.9901960784313726,0.7426470588235294,0,136,0.19236209335219237,reports/aerokan_phm_critical_gate/benchmark_predictions.csv
